,GEO.id,GEO.id2,GEO.display-label,HD01_VD01,year
100,0500000US04009,4009,"Graham County, Arizona",36030,2010
101,0500000US04011,4011,"Greenlee County, Arizona",8318,2010
102,0500000US04012,4012,"La Paz County, Arizona",20549,2010
103,0500000US04013,4013,"Maricopa County, Arizona",3751410,2010
104,0500000US04015,4015,"Mohave County, Arizona",199177,2010
105,0500000US04017,4017,"Navajo County, Arizona",107060,2010
106,0500000US04019,4019,"Pima County, Arizona",964462,2010
107,0500000US04021,4021,"Pinal County, Arizona",329297,2010
108,0500000US04023,4023,"Santa Cruz County, Arizona",46051,2010
109,0500000US04025,4025,"Yavapai County, Arizona",209260,2010
110,0500000US04027,4027,"Yuma County, Arizona",190526,2010
111,0500000US05001,5001,"Arkansas County, Arkansas",19321,2010
112,0500000US05003,5003,"Ashley County, Arkansas",22126,2010
113,0500000US05005,5005,"Baxter County, Arkansas",41388,2010
114,0500000US05007,5007,"Benton County, Arkansas",209911,2010
115,0500000US05009,5009,"Boone County, Arkansas",36710,2010
116,0500000US05011,5011,"Bradley County, Arkansas",11638,2010
117,0500000US05013,5013,"Calhoun County, Arkansas",5529,2010
118,0500000US05015,5015,"Carroll County, Arkansas",26971,2010
119,0500000US05017,5017,"Chicot County, Arkansas",12102,2010
120,0500000US05019,5019,"Clark County, Arkansas",23083,2010
121,0500000US05021,5021,"Clay County, Arkansas",16297,2010
122,0500000US05023,5023,"Cleburne County, Arkansas",25692,2010
123,0500000US05025,5025,"Cleveland County, Arkansas",8769,2010
124,0500000US05027,5027,"Columbia County, Arkansas",24756,2010
125,0500000US05029,5029,"Conway County, Arkansas",21059,2010
126,0500000US05031,5031,"Craighead County, Arkansas",93329,2010
127,0500000US05033,5033,"Crawford County, Arkansas",60778,2010
128,0500000US05035,5035,"Crittenden County, Arkansas",50673,2010
129,0500000US05037,5037,"Cross County, Arkansas",18144,2010
130,0500000US05039,5039,"Dallas County, Arkansas",8280,2010
131,0500000US05041,5041,"Desha County, Arkansas",13351,2010
132,0500000US05043,5043,"Drew County, Arkansas",18546,2010
133,0500000US05045,5045,"Faulkner County, Arkansas",108375,2010
134,0500000US05047,5047,"Franklin County, Arkansas",18176,2010
135,0500000US05049,5049,"Fulton County, Arkansas",12263,2010
136,0500000US05051,5051,"Garland County, Arkansas",95290,2010
137,0500000US05053,5053,"Grant County, Arkansas",17657,2010
138,0500000US05055,5055,"Greene County, Arkansas",41318,2010
139,0500000US05057,5057,"Hempstead County, Arkansas",22747,2010
140,0500000US05059,5059,"Hot Spring County, Arkansas",32671,2010
141,0500000US05061,5061,"Howard County, Arkansas",13778,2010
142,0500000US05063,5063,"Independence County, Arkansas",35994,2010
143,0500000US05065,5065,"Izard County, Arkansas",13636,2010
144,0500000US05067,5067,"Jackson County, Arkansas",18015,2010
145,0500000US05069,5069,"Jefferson County, Arkansas",78447,2010
146,0500000US05071,5071,"Johnson County, Arkansas",25180,2010
147,0500000US05073,5073,"Lafayette County, Arkansas",7764,2010
148,0500000US05075,5075,"Lawrence County, Arkansas",17340,2010
149,0500000US05077,5077,"Lee County, Arkansas",10709,2010
150,0500000US05079,5079,"Lincoln County, Arkansas",14203,2010
151,0500000US05081,5081,"Little River County, Arkansas",13145,2010
152,0500000US05083,5083,"Logan County, Arkansas",22580,2010
153,0500000US05085,5085,"Lonoke County, Arkansas",65846,2010
154,0500000US05087,5087,"Madison County, Arkansas",15507,2010
155,0500000US05089,5089,"Marion County, Arkansas",16779,2010
156,0500000US05091,5091,"Miller County, Arkansas",43048,2010
