GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
0500000US01001,1001,"Autauga County, Alabama",55221,*****
0500000US01003,1003,"Baldwin County, Alabama",195121,*****
0500000US01005,1005,"Barbour County, Alabama",26932,*****
0500000US01007,1007,"Bibb County, Alabama",22604,*****
0500000US01009,1009,"Blount County, Alabama",57710,*****
0500000US01011,1011,"Bullock County, Alabama",10678,*****
0500000US01013,1013,"Butler County, Alabama",20354,*****
0500000US01015,1015,"Calhoun County, Alabama",116648,*****
0500000US01017,1017,"Chambers County, Alabama",34079,*****
0500000US01019,1019,"Cherokee County, Alabama",26008,*****
0500000US01021,1021,"Chilton County, Alabama",43819,*****
0500000US01023,1023,"Choctaw County, Alabama",13395,*****
0500000US01025,1025,"Clarke County, Alabama",25070,*****
0500000US01027,1027,"Clay County, Alabama",13537,*****
0500000US01029,1029,"Cleburne County, Alabama",15002,*****
0500000US01031,1031,"Coffee County, Alabama",50884,*****
0500000US01033,1033,"Colbert County, Alabama",54444,*****
0500000US01035,1035,"Conecuh County, Alabama",12865,*****
0500000US01037,1037,"Coosa County, Alabama",11027,*****
0500000US01039,1039,"Covington County, Alabama",37886,*****
0500000US01041,1041,"Crenshaw County, Alabama",13938,*****
0500000US01043,1043,"Cullman County, Alabama",80965,*****
0500000US01045,1045,"Dale County, Alabama",49866,*****
0500000US01047,1047,"Dallas County, Alabama",42154,*****
0500000US01049,1049,"DeKalb County, Alabama",71068,*****
0500000US01051,1051,"Elmore County, Alabama",80763,*****
0500000US01053,1053,"Escambia County, Alabama",37935,*****
0500000US01055,1055,"Etowah County, Alabama",103766,*****
0500000US01057,1057,"Fayette County, Alabama",16896,*****
0500000US01059,1059,"Franklin County, Alabama",31634,*****
0500000US01061,1061,"Geneva County, Alabama",26815,*****
0500000US01063,1063,"Greene County, Alabama",8697,*****
0500000US01065,1065,"Hale County, Alabama",15256,*****
0500000US01067,1067,"Henry County, Alabama",17252,*****
0500000US01069,1069,"Houston County, Alabama",103534,*****
0500000US01071,1071,"Jackson County, Alabama",52860,*****
0500000US01073,1073,"Jefferson County, Alabama",659026,*****
0500000US01075,1075,"Lamar County, Alabama",14133,*****
0500000US01077,1077,"Lauderdale County, Alabama",92737,*****
0500000US01079,1079,"Lawrence County, Alabama",33586,*****
0500000US01081,1081,"Lee County, Alabama",150982,*****
0500000US01083,1083,"Limestone County, Alabama",88805,*****
0500000US01085,1085,"Lowndes County, Alabama",10742,*****
0500000US01087,1087,"Macon County, Alabama",20018,*****
0500000US01089,1089,"Madison County, Alabama",346438,*****
0500000US01091,1091,"Marengo County, Alabama",20306,*****
0500000US01093,1093,"Marion County, Alabama",30387,*****
0500000US01095,1095,"Marshall County, Alabama",94318,*****
0500000US01097,1097,"Mobile County, Alabama",414251,*****
0500000US01099,1099,"Monroe County, Alabama",22217,*****
0500000US01101,1101,"Montgomery County, Alabama",228138,*****
0500000US01103,1103,"Morgan County, Alabama",119786,*****
0500000US01105,1105,"Perry County, Alabama",10038,*****
0500000US01107,1107,"Pickens County, Alabama",19856,*****
0500000US01109,1109,"Pike County, Alabama",33155,*****
0500000US01111,1111,"Randolph County, Alabama",22648,*****
0500000US01113,1113,"Russell County, Alabama",58302,*****
0500000US01115,1115,"St. Clair County, Alabama",85864,*****
0500000US01117,1117,"Shelby County, Alabama",203530,*****
0500000US01119,1119,"Sumter County, Alabama",13341,*****
0500000US01121,1121,"Talladega County, Alabama",81437,*****
0500000US01123,1123,"Tallapoosa County, Alabama",41153,*****
0500000US01125,1125,"Tuscaloosa County, Alabama",200458,*****
0500000US01127,1127,"Walker County, Alabama",65923,*****
0500000US01129,1129,"Washington County, Alabama",16997,*****
0500000US01131,1131,"Wilcox County, Alabama",11235,*****
0500000US01133,1133,"Winston County, Alabama",24130,*****
